Driver,Team,Circuit,PrevLapTime,AvgLast3Laps,AvgLast5Laps,TyreLife,Compound,Stint,LapNumber,Position,TrackStatus,InPit,AirTemp,TrackTemp,Humidity,Rainfall,NextLapTime
ALB,Williams,Australian Grand Prix,93.713,94.13766667,95.3988,11,INTERMEDIATE,4,13,7,1,0,15.70786517,18.94213483,78.42134831,1,92.717
ALB,Williams,Australian Grand Prix,93.153,93.69066667,94.3732,12,INTERMEDIATE,4,14,7,1,0,15.70786517,18.94213483,78.42134831,1,92.733
ALB,Williams,Australian Grand Prix,92.717,93.19433333,93.6566,13,INTERMEDIATE,4,15,7,1,0,15.70786517,18.94213483,78.42134831,1,92.464
ALB,Williams,Australian Grand Prix,92.733,92.86766667,93.3044,14,INTERMEDIATE,4,16,7,1,0,15.70786517,18.94213483,78.42134831,1,93.088
ALB,Williams,Australian Grand Prix,92.464,92.638,92.956,15,INTERMEDIATE,4,17,7,1,0,15.70786517,18.94213483,78.42134831,1,92.981
ALB,Williams,Australian Grand Prix,93.088,92.76166667,92.831,16,INTERMEDIATE,4,18,7,1,0,15.70786517,18.94213483,78.42134831,1,93.051
ALB,Williams,Australian Grand Prix,92.981,92.84433333,92.7966,17,INTERMEDIATE,4,19,7,1,0,15.70786517,18.94213483,78.42134831,1,92.356
ALB,Williams,Australian Grand Prix,93.051,93.04,92.8634,18,INTERMEDIATE,4,20,7,1,0,15.70786517,18.94213483,78.42134831,1,92.036
ALB,Williams,Australian Grand Prix,92.356,92.796,92.788,19,INTERMEDIATE,4,21,7,1,0,15.70786517,18.94213483,78.42134831,1,92.053
ALB,Williams,Australian Grand Prix,92.036,92.481,92.7024,20,INTERMEDIATE,4,22,7,1,0,15.70786517,18.94213483,78.42134831,1,91.75
ALB,Williams,Australian Grand Prix,92.053,92.14833333,92.4954,21,INTERMEDIATE,4,23,7,1,0,15.70786517,18.94213483,78.42134831,1,91.868
